ISSN	Titulo	Estrato	
1042-9670	Academic Psychiatry	A2
1076-6332	Academic Radiology	A3
2318-1494	Acadêmico Mundo	B3
1631-0691	Academie Des Sciences. Comptes Rendus. Biologies	A2
1806-9495	Academus: Revista Científica da Saúde	B4
1528-2686	Academy of Entrepreneurship Journal	A4
2151-6561	Academy of Management Annual Meeting Proceedings	B4
1095-6298	Academy of Marketing Studies Journal	A4
1939-6104	Academy of Strategic Management Journal	B1
2358-6559	Acanto em Revista	B4
2238-0701	Ação Midiática - Estudos em Comunicação, Sociedade e Cultura	B2
0132-8077	Acarina: Russian Journal of Acarology	B1
0044-586x	Acarologia (La Varenne-Sur-Seine)	B1
0001-4575	Accident Analysis and Prevention	A1
0810-5391	Accounting and Finance (Parkville. Print)	A2
0963-9284	Accounting Education: An International Journal	A2
0155-9982	Accounting Forum (Adelaide. Print)	A2
0951-3574	Accounting, Auditing & Accountability Journal	A1
0001-4842	Accounts of Chemical Research	A1
0949-1775	Accreditation and Quality Assurance	B2
2358-5587	Aceno - Revista de Antropologia do Centro-Oeste	A3
2237-8723	Acervo: Revista do Arquivo Nacional	A3
2319-0698	Acesso Livre	B1
2326-3253	Acg Case Reports Journal	B1
0329-9147	Acheronta (En Línea)	B4
2318-5724	Achiote.Com ¿ Revista Eletrônica de Moda	B3
0889-325x	Aci Materials Journal	A2
0889-3241	Aci Structural Journal	A3
0360-0300	Acm Computing Surveys	A1
2153-2184	Acm Inroads	B2
1550-4832	Acm Journal on Emerging Technologies in Computing Systems	A3
1936-7228	Acm Transactions on Accessible Computing (Taccess)	A3
1544-3566	Acm Transactions on Architecture and Code Optimization	A3
1556-4665	Acm Transactions on Autonomous and Adaptive Systems	A2
0734-2071	Acm Transactions on Computer Systems	A1
1946-6226	Acm Transactions on Computing Education	A1
1084-4309	Acm Transactions on Design Automation of Electronic Systems	A4
1539-9087	Acm Transactions on Embedded Computing Systems	A4
0730-0301	Acm Transactions on Graphics	A1
1046-8188	Acm Transactions on Information Systems	A1
1533-5399	Acm Transactions on Internet Technology	A2
1556-4681	Acm Transactions on Knowledge Discovery From Data	A1
2376-3639	Acm Transactions on Modeling and Performance Evaluation of Computing Systems	B3
1551-6857	Acm Transactions on Multimedia Computing Communications and Applications	A2
2471-2566	Acm Transactions on Privacy and Security	B4
1049-331x	Acm Transactions on Software Engineering and Methodology	A2
1559-1131	Acm Transactions on The Web	A2
2576-6422	Acs Applied Bio Materials	B3
2574-0962	Acs Applied Energy Materials	B4
1944-8252	Acs Applied Materials & Interfaces (Online)	A1
4283-4293	Acs Applied Nano Materials	B4
2373-9878	Acs Biomaterials Science & Enginnering	A2
2155-5435	Acs Catalysis	A1
2374-7951	Acs Central Science (Online)	A1
1554-8929	Acs Chemical Biology	A1
1554-8937	Acs Chemical Biology	A1
1948-7193	Acs Chemical Neuroscience	A1
2156-8952	Acs Combinatorial Science	A2
2472-3452	Acs Earth and Space Chemistry	B4
2373-8227	Acs Infectious Diseases	A1
2161-1653	Acs Macro Letters	A1
1948-5875	Acs Med Chem Lett	A2
1936-0851	Acs Nano	A1
2470-1343	Acs Omega	A3
2330-4022	Acs Photonics	A2
2379-3694	Acs Sensors	A1
2168-0485	Acs Sustainable Chemistry & Engineering	A1
2161-5063	Acs Synthetic Biology	A1
0906-4710	Acta Agriculturae Scandinavica. Section B, Soil and Plant Science	A4
0120-2812	Acta Agronomica	B4
1809-4392	Acta Amazonica	B1
1677-7298	Acta Ambiental Catarinense	B1
0001-5172	Acta Anaesthesiologica Scandinavica	A3
0353-5150	Acta Analytica	A4
1234-950x	Acta Angiologica	B4
2358-2375	Acta Apicola Brasilica	B3
0167-8019	Acta Applicandae Mathematicae	B1
0001-5202	Acta Arachnologica	B4
0065-101x	Acta Archaeologica (Papirform)	B1
0094-5765	Acta Astronautica	A1
0001-5237	Acta Astronomica	A1
1672-9145	Acta Biochimica et Biophysica Sinica	A4
1726-569x	Acta Bioethica (En Línea)	B4
0120-548x	Acta Biologica Colombiana	B1
1742-7061	Acta Biomaterialia	A1
2236-0867	Acta Biomedica Brasiliensia	B1
0325-2957	Acta Bioquímica Clínica Latinoamericana	B4
0001-5342	Acta Biotheoretica	A2
1677-941x	Acta Botanica Brasilica	B1
2526-4338	Acta Brasiliensis	B1
2526-432x	Acta Brasiliensis	B1
0001-5385	Acta Cardiologica (Imprimé)	B2
0583-6050	Acta Carsologica	B1
1318-0207	Acta Chimica Slovenica (Print Ed.)	B1
1508-1109	Acta Chiropterologica	A3
1733-5329	Acta Chiropterologica (Online)	A3
1233-2356	Acta Chromatographica	B2
0253-7338	Acta Ciencia Indica. Chemistry	B2
1984-0918	Acta Científica (Patos de Minas)	B4
1519-9800	Acta Científica. Ciências Humanas	B4
1678-2674	Acta Cirúrgica Brasileira (Online)	B1
1909-9711	Acta Colombiana de Psicologia	A3
0188-8145	Acta Comportamentalia	A3
2053-2733	Acta Crystallographica a - Foundation and Advances	A2
2052-5206	Acta Crystallographica Section B	A1
2053-2296	Acta Crystallographica Section C: Structural Chemistry	A3
2056-9890	Acta Crystallographica Section E, Crystallographic Communications	B4
0108-7673	Acta Crystallographica. Section A, Foundations of Crystallography	A2
2053-230x	Acta Crystallographica. Section F: Structural Biology Communications	B2
0001-5547	Acta Cytologica	B1
1938-2650	Acta Cytologica	B1
0001-5555	Acta Dermato-Venereologica	A2
1330-027x	Acta Dermatovenerologica Croatica	B2
0940-5429	Acta Diabetologica (Print)	A2
2065-1430	Acta Didactica Napocensia	A3
0374-1036	Acta Entomologica Musei Nationalis Pragae	B1
1437-9546	Acta Ethologica (Internet)	A3
0104-7795	Acta Fisiatrica	A3
2317-0190	Acta Fisiátrica	A3
0300-9033	Acta Gastroenterológica Latinoamericana	B3
1980-5772	Acta Geográfica (Ufrr)	A2
0001-5709	Acta Geologica Polonica	B1
1895-6572	Acta Geophysica (Druk)	B1
1861-1125	Acta Geotechnica (Berlin. Print)	A2
0001-5792	Acta Haematologica	B2
1827-9635	Acta Herpetologica	A4
0065-1281	Acta Histochemica (Print)	A4
2406-6168	Acta Horticulturae	B4
0567-7572	Acta Horticulturae	B4
0137-1592	Acta Ichthyologica et Piscatoria	B2
2316-4093	Acta Iguazu	B4
2221-870x	Acta Imeko	B2
2448-6469	Acta Latinoamericana de Matematica Educativa	B3
2179-975x	Acta Limnologica Brasiliensia (Online)	B1
0716-0909	Acta Literaria (Impresa)	B1
1359-6454	Acta Materialia (Oxford)	A1
0001-5962	Acta Mathematica	A1
0236-5294	Acta Mathematica Hungarica (Print)	B2
0252-9602	Acta Mathematica Scientia	B2
0001-5970	Acta Mechanica	A2
0044-6025	Acta Medica Iranica	A2
0870-399x	Acta Médica Portuguesa	A4
1646-0758	Acta Médica Portuguesa	A4
1006-7191	Acta Metallurgica Sinica	A2
2594-7680	Acta Negócios	B4
0065-1400	Acta Neurobiologiae Experimentalis (Druk)	B1
0001-6268	Acta Neurochirurgica	A3
0300-9009	Acta Neurologica Belgica	B2
0001-6314	Acta Neurologica Scandinavica	A2
0001-6322	Acta Neuropathologica	A1
2051-5960	Acta Neuropathologica Communications	A1
1601-5215	Acta Neuropsychiatrica	A3
0001-6349	Acta Obstetricia et Gynecologica Scandinavica	A3
1852-4834	Acta Odontologica Latinoamericana	A4
1502-3850	Acta Odontologica Scandinavica	A2
0001-6365	Acta Odontológica Venezolana	B4
1146-609x	Acta Oecologica (Montrouge)	A3
1509-409x	Acta of Bioengineering and Biomechanics	B1
0284-186x	Acta Oncologica (Stockholm)	A3
2027-7822	Acta Ondontológica Colombiana	B4
1755-375x	Acta Ophthalmologica	A2
0001-6454	Acta Ornithologica	A4
1745-3674	Acta Orthopaedica (Print)	A1
1413-7852	Acta Ortopédica Brasileira (Impresso)	B3
0001-6489	Acta Oto-Laryngologica	A4
0392-100x	Acta Otorhinolaryngologica Italica	A4
2173-5735	Acta Otorrinolaringologica (English Edition)	B4
0001-6519	Acta Otorrinolaringológica Española	B2
0803-5253	Acta Paediatrica (Oslo)	A2
0567-7920	Acta Palaeontologica Polonica	A2
1230-2821	Acta Parasitologica	B3
0103-2100	Acta Paulista de Enfermagem (Unifesp. Impresso)	A3
0001-6640	Acta Pediátrica Española	B1
1330-0075	Acta Pharmaceutica	A4
2211-3835	Acta Pharmaceutica Sinica B	A1
1671-4083	Acta Pharmacologica Sinica	A2
0587-4246	Acta Physica Polonica. A	B1
0587-4254	Acta Physica Polonica. B	B1
0137-5881	Acta Physiologiae Plantarum	A3
1861-1664	Acta Physiologiae Plantarum	A3
1748-1716	Acta Physiologica (Online)	A1
0231-424x	Acta Physiologica Hungarica (Print)	B4
0185-3082	Acta Poética	A4
2448-735x	Acta Poética (Online)	A4
0001-6837	Acta Poloniae Pharmaceutica: Drug Research	B1
1210-2709	Acta Polytechnica	B1
1785-8860	Acta Polytechnica Hungarica	B1
0065-1583	Acta Protozoologica (Druk)	A3
0001-6896	Acta Psiquiátrica y Psicológica de América Latina	A2
0001-690x	Acta Psychiatrica Scandinavica	A2
0001-6918	Acta Psychologica	A3
2469-6676	Acta Psychopathologica	B4
0284-1851	Acta Radiologica (1987)	A4
0303-464x	Acta Reumatológica Portuguesa	B3
2317-8957	Acta Scientiae et Technicae	B3
1679-9216	Acta Scientiae Veterinariae (Online)	B1
1678-0345	Acta Scientiae Veterinariae (Ufrgs. Impresso)	B1
1644-0730	Acta Scientiarum Polonorum Technologia Alimentaria	A4
1679-9275	Acta Scientiarum. Agronomy (Impresso)	A4
1806-2636	Acta Scientiarum. Animal Sciences	B2
1807-863x	Acta Scientiarum. Biological Sciences (Online)	B1
2178-5201	Acta Scientiarum. Education (Online)	A2
1679-9291	Acta Scientiarum. Health Sciences (Impresso)	B2
1679-7361	Acta Scientiarum. Human and Social Sciences (Impresso)	B4
1983-4675	Acta Scientiarum. Language and Culture (Impresso)	B1
1806-2563	Acta Scientiarum. Technology (Impresso)	B2
0102-4264	Acta Semiótica et Linguística	B3
0186-6028	Acta Sociologica	A1
0001-6993	Acta Sociologica (Trykt Utg.)	A2
0001-7019	Acta Stomatologica Croatica	B3
1982-422x	Acta Tecnológica	B3
0327-9286	Acta Toxicológica Argentina	A4
1851-3743	Acta Toxicológica Argentina (Online)	A4
0001-706x	Acta Tropica	A1
0001-7132	Acta Universitatis Carolinae. Geologica	B2
0567-8315	Acta Veterinaria (Beograd)	A4
1981-5484	Acta Veterinaria Brasilica	B2
0001-7213	Acta Veterinaria Brno (Print)	B1
1751-0147	Acta Veterinaria Scandinavica (Online)	A2
0001-723x	Acta Virologica (English Ed.)	B3
0001-7272	Acta Zoologica (Stockholm)	A4
0065-1737	Acta Zoológica Mexicana	B4
1463-6395	Acta Zoologica Online	A4
1850-2032	Actas de Diseño	B3
0001-7310	Actas Dermo-Sifiliográficas (Ed. Impresa)	B2
1139-9287	Actas Espanõlas de Psiquiatría	A2
1578-2735	Actas Españolas de Psiquiatría	A2
0210-4806	Actas Urológicas Españolas	B2
0335-5322	Actes de La Recherche En Sciences Sociales	A1
2270-4957	Actes Sémiotiques (En Ligne)	A1
2525-8923	Actio: Docência em Ciências	A3
1545-4517	Action, Criticism, & Theory for Music Education	A2
2519-7355	Actualidad Brics- Boletin de Relaciones Internacionales	B4
0304-3584	Actualidades Biologicas	B4
2215-3535	Actualidades En Psicología	A4
1409-4703	Actualidades Investigativas En Educación	A2
0120-1700	Actualidades Pedagógicas	A4
1778-4034	Actualités de La Conservation	B3
1669-8975	Actualizaciones En Osteología (Impresa)	B4
2076-0825	Actuators	B2
0718-0179	Actuel Marx Intervenciones	B2
0360-1293	Acupuncture & Electro-Therapeutics Research	B3
0964-5284	Acupuncture in Medicine	A2
1983-442x	Acústica e Vibrações	B4
1610-1928	Acustica United With Acta Acustica	A3
1570-8705	Ad Hoc Networks	A2
2325-0496	Ada	B2
0736-5829	Adapted Physical Activity Quarterly	A2
1543-2777	Adapted Physical Activity Quarterly	A2
0965-2140	Addiction (Abingdon. Print)	A1
1355-6215	Addiction Biology (Print)	A1
1606-6359	Addiction Research & Theory	A2
1940-0640	Addiction Science & Clinical Practice	A1
0306-4603	Addictive Behaviors	A1
2352-8532	Addictive Behaviors Reports	B1
1866-6116	Adhd - Attention Deficit and Hyperactivity Disorders	A4
1551-9899	Adhoc & Sensor Wireless Networks	B1
1518-9929	Adm. Made (Universidade Estácio de Sá)	A4
1692-0279	Ad-Minister	B1
2316-7548	Administração de Empresas em Revista	B4
2175-5787	Administração Pública e Gestão Social	A4
2177-6083	Administração: Ensino e Pesquisa	A3
2500-5227	Administración y Desarrollo (Versão Digital)	B4
1015-4833	Administratio Publica	A3
0894-587x	Administration and Policy in Mental Health	A1
1005-0078	Administrative Law Review	B1
0001-8392	Administrative Science Quarterly	A1
2076-3387	Administrative Sciences	B1
0751-7696	Adolescence (Paris)	B1
2177-5281	Adolescência & Saúde	B4
1679-9941	Adolescência & Saúde (Uerj)	B4
0929-5607	Adsorption (Boston)	A2
0263-6174	Adsorption Science & Technology	B1
0342-7633	Adult Education and Development	B4
2119-0275	Advanced Electromagnetics	B1
2199-160x	Advanced Electronic Materials	A2
1474-0346	Advanced Engineering Informatics	A1
1438-1656	Advanced Engineering Materials (Print)	A1
1616-301x	Advanced Functional Materials (Print)	A1
2192-2659	Advanced Healthcare Materials	A1
1521-4095	Advanced Materials (Online)	A1
0935-9648	Advanced Materials (Weinheim Print)	A1
2196-7350	Advanced Materials Interfaces	A2
1841-4311	Advanced Modelling and Optimization	A4
1536-1365	Advanced Nonlinear Studies	A2
2195-1071	Advanced Optical Materials	A1
2251-7308	Advanced Pharmaceutical Bulletin	A3
0921-8831	Advanced Powder Technology (Print)	A2
0169-1864	Advanced Robotics (Print)	A4
2164-6627	Advanced Science, Engineering and Medicine	B2
1615-4150	Advanced Synthesis & Catalysis (Print)	A1
0974-6803	Advances and Applications in Mathematical Sciences	B4
0065-2113	Advances in Agronomy	A1
2307-8316	Advances in Animal and Veterinary Sciences	B3
2040-4700	Advances in Animal Biosciences	B4
2163-9353	Advances in Anthropology	A3
1743-6753	Advances in Applied Ceramics (Print)	A4
0188-7009	Advances in Applied Clifford Algebras	B3
2070-0733	Advances in Applied Mathematics and Mechanics	B1
0001-8678	Advances in Applied Probability	A4
2165-4336	Advances in Applied Sociology (Online)	B3
2162-2191	Advances in Biological Chemistry	A3
2212-4926	Advances in Biological Regulation	A1
2156-8502	Advances in Bioscience and Biotechnology	B1
1864-8258	Advances in Calculus of Variations	A1
1864-8266	Advances in Calculus of Variations	A1
0951-7197	Advances in Cement Research	A4
2160-0392	Advances in Chemical Engineering and Science	B2
1548-5595	Advances in Chronic Kidney Disease (Print)	A2
1687-8094	Advances in Civil Engineering (Online)	A4
1687-8086	Advances in Civil Engineering (Print)	A4
0065-2423	Advances in Clinical Chemistry	A1
0001-8686	Advances in Colloid and Interface Science (Print)	A1
0219-5259	Advances in Complex Systems	B3
1019-7168	Advances in Computational Mathematics	A3
2287-5301	Advances in Concrete Construction	B1
1687-8108	Advances in Condensed Matter Physics (Print)	B2
0098-9258	Advances in Consumer Research	A3
1862-5347	Advances in Data Analysis and Classification	A4
2424-9238	Advances in Data Science and Adaptive Analysis	B4
0895-9374	Advances in Dental Research	A1
1544-0737	Advances in Dental Research (Online)	A1
1523-4223	Advances in Developing Human Resources	A2
1079-9389	Advances in Differential Equations	A1
2255-2863	Advances in Distributed Computing and Artificial Intelligence Journal	B3
0065-2504	Advances in Ecological Research	A1
1582-7445	Advances in Electrical and Computer Engineering (Print)	A4
0965-9978	Advances in Engineering Software	A1
1093-0191	Advances in Environmental Research (Print)	B3
0065-2598	Advances in Experimental Medicine and Biology	A4
1529-2126	Advances in Gender Research	A3
1615-715x	Advances in Geometry (Print)	A4
1382-4996	Advances in Health Sciences Education	A1
1687-7357	Advances in High Energy Physics	B1
2327-0446	Advances in Historical Studies	B3
0394-6169	Advances in Horticultural Science	B2
1687-5893	Advances in Human-Computer Interaction (Print)	B1
2194-5357	Advances in Intelligent Systems and Computing	B3
1474-7979	Advances in International Marketing	A3
2161-6825	Advances in Internet of Things (Online)	B4
0938-5495	Advances in Knowledge Organization	B1
2095-3127	Advances in Manufacturing (Impresso)	A3
0065-2881	Advances in Marine Biology	A2
1687-8434	Advances in Materials Science and Engineering (Print)	A3
1687-9120	Advances in Mathematical Physics (Print)	B3
1343-4373	Advances in Mathematical Sciences and Applications	B2
0001-8708	Advances in Mathematics (New York. 1965)	A1
1930-5346	Advances in Mathematics of Communications	B1
1930-5338	Advances in Mathematics of Communications (Online)	B1
1687-8140	Advances in Mechanical Engineering	B1
1179-7258	Advances in Medical Education and Practice	A3
1898-4002	Advances in Medical Sciences	A1
1687-9309	Advances in Meteorology	A4
2165-3402	Advances in Microbiology	B2
2165-3410	Advances in Microbiology	B2
2287-237x	Advances in Nano Research	A4
1536-0903	Advances in Neonatal Care (Print)	A3
2156-5376	Advances in Nutrition	A1
1687-6407	Advances in Optical Technologies	B2
1943-8206	Advances in Optics and Photonics	A1
1879-808x	Advances in Parallel Computing (Online)	B3
0065-308x	Advances in Parasitology	A1
1687-6334	Advances in Pharmacological Sciences (Print)	A2
2164-0408	Advances in Physical Education	B4
1043-4046	Advances in Physiology Education	A3
1098-2329	Advances in Polymer Technology	A3
0730-6679	Advances in Polymer Technology (Print)	A3
1876-1623	Advances in Protein Chemistry and Structural Biology	B1
2348-0394	Advances in Research	B3
1983-8611	Advances in Scientific and Applied Accounting	A2
1527-7941	Advances in Skin & Wound Care	A3
2055-0286	Advances in Social Sciences Research Journal	B3
0273-1177	Advances in Space Research	A3
1369-4332	Advances in Structural Engineering	A4
1095-0761	Advances in Theoretical and Mathematical Physics (Print)	A1
0741-238x	Advances in Therapy	A2
1687-5915	Advances in Tribology	B1
1687-6369	Advances in Urology (Print)	B2
0309-1708	Advances in Water Resources	A1
2162-1934	Advances in Wound Care	A1
1808-883x	Advérbio (Fag)	A4
1518-3769	Advir (Asduerj)	B3
2177-3416	Advocatus	B2
1984-5634	Aedos: Revista do Corpo Discente do Programa de Pós-Graduação em História da Ufrgs (Online)	A3
1875-9637	Aeolian Research	A2
0001-9054	Aequationes Mathematicae (Print)	B1
0393-5965	Aerobiologia (Bologna)	A2
0001-9240	Aeronautical Journal (1968)	A4
1680-8584	Aerosol and Air Quality Research	A2
0278-6826	Aerosol Science and Technology (Print)	A3
1270-9638	Aerospace Science and Technology (Imprimé)	A1
0364-216x	Aesthetic Plastic Surgery	A4
1090-820x	Aesthetic Surgery Journal	A2
1434-8411	Aeu. International Journal of Electronics and Communications (Print)	A2
0123-8884	Affectio Societatis	B2
0001-9704	Afinidad (Barcelona)	B3
2525-3441	Afluente - Revista de Letras e Linguística	B2
1021-3589	African Entomology	B1
1681-5556	African Invertebrates	B2
1993-3738	African Journal of Agricultural and Resource Economics	B4
3519-3824	African Journal of Botany	B3
1554-3897	African Journal of Criminology and Justice Studies	B4
2040-0705	African Journal of Economic and Management Studies (Impresso)	A4
1996-0794	African Journal of Food Science	B2
2225-2002	African Journal of Laboratory Medicine	B1
1996-0824	African Journal of Plant Science	B2
1022-0119	African Journal of Range & Forage Science	A3
0002-0184	African Studies (Johannesburg)	A2
0002-0206	African Studies Review	A1
0874-2375	Africana Studia	A4
1012-9405	Afrika Matematika	B4
0002-0591	Afro-Ásia (Ufba. Impresso)	A2
1130-3557	Agalia (A Corunha)	B3
1723-0284	Agalma (Roma)	A4
2069-1025	Agathos-An Internationalreview of The Humanities and Social Sciences	B2
0161-9152	Age	A2
0002-0729	Age and Ageing	A1
0144-686x	Ageing and Society (Print)	A1
0163-5158	Ageing International	A3
1568-1637	Ageing Research Reviews (Print)	A1
2318-8499	Agenda Política	A2
1981-9862	Agenda Social (Uenf)	B2
0096-140x	Aggressive Behavior (Print)	A1
1360-7863	Aging & Mental Health (Print)	A1
1945-4589	Aging (Albany)	A1
2152-5250	Aging and Disease	A1
1474-9718	Aging Cell (Print)	A1
1720-8319	Aging Clinical and Experimental Research	A4
1368-5538	Aging Male	A3
1516-1498	Ágora ( Ppgtp/Ufrj)	A2
0874-5498	Ágora (Aveiro)	A1
0104-7507	Agora (Unc)	B1
1414-0454	Ágora (Unisc)	B2
1982-999x	Ágora Filosófica	B4
1679-5385	Ágora Filosófica (Unicap. Impresso)	B4
0103-3557	Agora: Arquivologia em Debate	B2
1984-252x	Agrarian (Dourados. Impresso)	B4
2277-9760	Agrarian South: Journal of Political Economy	A2
2352-2151	Agri Gene	B2
1807-1570	Agrianual (São Paulo)	B4
1414-0810	Agricultura Familiar (Ufpa)	B2
1461-9555	Agricultural and Forest Entomology (Print)	A2
0002-161x	Agricultural Research (Washington)	B4
2471-6774	Agricultural Research and Technology: Open Access Journal	B2
0308-521x	Agricultural Systems	A1
0378-3774	Agricultural Water Management (Print)	A1
2077-0472	Agriculture	A2
2048-7010	Agriculture & Food Security	A3
2452-316x	Agriculture and Natural Resources	B2
0167-8809	Agriculture, Ecosystems & Environment (Print)	A1
1166-7699	Agricultures (Montrouge) / Cahiers D'études et de Recherches Francophones	B1
1804-1930	Agris On-Line Papers in Economics and Informatics	A3
1982-8470	Agro@Mbiente On-Line	B4
1316-0354	Agroalimentaria (Caracas)	A4
0100-4298	Agroanalysis (Fgv)	B4
0002-1857	Agrochimica (Pisa)	B1
1405-3195	Agrociencia (Montecillo)	B2
1510-0839	Agrociencia (Montevideo)	B4
1989-4686	Agroecología	B2
2168-3565	Agroecology and Sustainable Food Systems (Print)	A3
2168-3573	Agroecology and Sustentainable Food Systems	A3
1572-9680	Agroforestry Systems	A3
0120-9965	Agronomia Colombiana	B3
2357-3732	Agronomía Colombiana	B3
2073-4395	Agronomy	A2
1774-0746	Agronomy for Sustainable Development	A1
0002-1962	Agronomy Journal (Print)	A2
1406-894x	Agronomy Research	A4
2525-877x	Agropampa: Revista de Gestão do Agronegócio	B4
1678-7471	Água Viva (Unb)	B4
2340-7743	Agua y Territorio	A3
2340-8472	Agua y Territorio	A3
2179-9784	Águas Subterrâneas	B2
0951-5666	Ai & Society	A2
0921-7126	Ai Communications	B3
0001-1452	Aiaa Journal (Print)	A1
0001-1541	Aiche Journal	A1
1121-0095	Aidainformazioni: Revista Di Scienze Dell¿Informazione	B4
0269-9370	Aids (London)	A1
1573-3254	Aids and Behavior (Dordrecht. Online)	A1
0954-0121	Aids Care (Print)	A2
1087-2914	Aids Patient Care and Stds	A1
0889-2229	Aids Research and Human Retroviruses	A4
1461-0213	Aila Review	A2
2471-2086	Aims Agriculture and Food	B1
2375-1495	Aims Bioengineering (Online)	B3
2333-8334	Aims Energy	B2
2372-0352	Aims Environmental Science	B4
2372-0484	Aims Materials Science	B3
2373-7972	Aims Neuroscience	B3
2158-3226	Aip Advances	A4
0094-243x	Aip Conference Proceedings	B4
1555-385x	Air & Space Power Journal (Print)	B2
1873-9326	Air Quality, Atmosphere & Health (Online)	A2
1873-9318	Air Quality, Atmosphere and Health	A2
1178-6221	Air, Soil and Water Research	B1
2009-3160	Aishe-J	A3
2150-7740	Ajob Neuroscience	A3
0364-0094	Ajs Review	A2
0101-8027	Ajuris (Porto Alegre)	B1
1517-5367	Akrópolis (Unipar)	B4
2351-8189	Al Irfan - Revista de Ciências Humanas e Sociais	B3
2318-3179	Alabastro	B3
2171-9624	Alabe	B1
1983-9472	Albuquerque: Revista de História	B3
2526-7280	Albuquerque: Revista de História	B3
1413-2591	Alcance (Univali) (Cessou em 2007)	A3
2175-7402	Alceu (Online)	B1
0311-5518	Alcheringa (Sydney)	B1
0741-8329	Alcohol (Fayetteville, N.Y.)	A3
0735-0414	Alcohol and Alcoholism (Oxford)	A1
0145-6008	Alcoholism, Clinical and Experimental Research	A2
1980-0436	Alea (2006. Online)	A4
1807-0299	Alea : Estudos Neolatinos (Online)	A1
1517-106x	Alea. Estudos Neolatinos	A1
1983-2087	Alethéia (Goiânia)	B4
1413-0394	Aletheia (Ulbra)	A3
2317-2096	Aletria: Revista de Estudos de Literatura	A4
1982-5153	Alexandria (Ufsc)	A3
1981-5794	Alfa: Revista de Linguística (Unesp. Online)	A1
0213-1854	Alfinge: Revista de Filología	B3
1226-2617	Algae	A2
2211-9264	Algal Research	A1
1937-0652	Algebra & Number Theory	A1
1726-3255	Algebra and Discrete Mathematics	B4
0002-5232	Algebra and Logic	B1
1005-3867	Algebra Colloquium	B2
0002-5240	Algebra Universalis (Printed Ed.)	A4
1472-2739	Algebraic and Geometric Topology (Online)	A3
1386-923x	Algebras and Representation Theory	A3
2158-5571	Algorithmic Finance (Print)	A4
0178-4617	Algorithmica	A3
1432-0541	Algorithmica (New York. Internet)	A3
1999-4893	Algorithms	A4
1748-7188	Algorithms for Molecular Biology	A2
0269-2813	Alimentary Pharmacology & Therapeutics	A1
1365-2036	Alimentary Pharmacology Therapeutics	A1
0971-4693	Allelopathy Journal	B2
0974-1240	Allelopathy Journal	B2
0301-0546	Allergologia et Immunopathologia (Ed. Impresa)	B3
1440-1592	Allergology International	A3
0105-4538	Allergy (Copenhagen)	A1
1088-5412	Allergy and Asthma Proceedings (Print)	A4
